Date,Hour,Time(MS),Time From Epoch(S),Sound Velocity(cm/s),Distance(CM),Deltatime(S),Temperature(C),Temperature(F),Humidity(%)
Tue Jan 12 13:48:46 2021,13,72624730,1610488126.0715623,34181.520000000004,1202.4682658958436,0.0703577995300293,16,60.8,58
Tue Jan 12 13:48:46 2021,13,72630465,1610488126.6450968,34181.520000000004,1201.6370159339906,0.07030916213989258,16,60.8,58
Tue Jan 12 13:48:47 2021,13,72636204,1610488127.218949,34181.520000000004,1201.588118877411,0.07030630111694336,16,60.8,58
Tue Jan 12 13:48:47 2021,13,72641956,1610488127.7942123,34181.520000000004,1202.4723406505586,0.0703580379486084,16,60.8,58
Tue Jan 12 13:48:48 2021,13,72650261,1610488128.624654,34180.28,1202.3757487773894,0.07035493850708008,16,60.8,57
Tue Jan 12 13:48:49 2021,13,72655997,1610488129.1982853,34180.28,1202.4042710256576,0.07035660743713379,16,60.8,57
Tue Jan 12 13:48:49 2021,13,72661735,1610488129.772071,34180.28,1202.3675995635986,0.07035446166992188,16,60.8,57
Tue Jan 12 13:48:50 2021,13,72667472,1610488130.3457208,34180.28,1202.5305838394165,0.07036399841308594,16,60.8,57
Tue Jan 12 13:48:51 2021,13,72675820,1610488131.180588,34180.28,1202.4409424877167,0.0703587532043457,16,60.8,57
Tue Jan 12 13:48:51 2021,13,72681558,1610488131.7543862,34180.28,1202.4409424877167,0.0703587532043457,16,60.8,57
Tue Jan 12 13:48:52 2021,13,72687296,1610488132.328131,34180.28,1202.2616597843169,0.07034826278686523,16,60.8,57
Tue Jan 12 13:48:52 2021,13,72693129,1610488132.9114575,34180.28,1202.3431519222258,0.07035303115844727,16,60.8,57
Tue Jan 12 13:48:53 2021,13,72701477,1610488133.746318,34180.28,1202.5020615911483,0.07036232948303223,16,60.8,57
Tue Jan 12 13:48:54 2021,13,72707214,1610488134.319981,34180.28,1202.4653901290892,0.07036018371582031,16,60.8,57
Tue Jan 12 13:48:54 2021,13,72712951,1610488134.8936567,34180.28,1202.400196418762,0.07035636901855469,16,60.8,57
Tue Jan 12 13:48:55 2021,13,72718688,1610488135.467405,34180.28,1202.4287186670304,0.0703580379486084,16,60.8,57
Tue Jan 12 13:48:56 2021,13,72726994,1610488136.297935,34180.28,1202.3594503498077,0.07035398483276367,16,60.8,57
Tue Jan 12 13:48:56 2021,13,72732730,1610488136.8715549,34180.28,1202.3187042808531,0.07035160064697266,16,60.8,57
Tue Jan 12 13:48:57 2021,13,72738467,1610488137.4452846,34180.28,1202.188316860199,0.0703439712524414,16,60.8,57
Tue Jan 12 13:48:58 2021,13,72744222,1610488138.0207603,34180.28,1202.3268534946442,0.07035207748413086,16,60.8,57
Tue Jan 12 13:48:58 2021,13,72752572,1610488138.8558128,34180.28,1202.2127645015717,0.07034540176391602,16,60.8,57
Tue Jan 12 13:48:59 2021,13,72758308,1610488139.429361,34180.28,1202.3309281015395,0.07035231590270996,16,60.8,57
Tue Jan 12 13:49:00 2021,13,72764045,1610488140.003056,34180.28,1202.253510570526,0.07034778594970703,16,60.8,57
Tue Jan 12 13:49:00 2021,13,72769780,1610488140.5766027,34180.28,1202.306480460167,0.07035088539123535,16,60.8,57
Tue Jan 12 13:49:01 2021,13,72778085,1610488141.4071023,34180.28,1202.290182032585,0.07034993171691895,16,60.8,57
Tue Jan 12 13:49:01 2021,13,72783822,1610488141.9807413,34180.28,1202.3024058532715,0.07035064697265625,16,60.8,57
Tue Jan 12 13:49:02 2021,13,72789559,1610488142.554455,34180.28,1202.489837770462,0.07036161422729492,16,60.8,57
Tue Jan 12 13:49:03 2021,13,72795306,1610488143.1292226,34180.28,1202.6120759773255,0.07036876678466797,16,60.8,57
Tue Jan 12 13:49:03 2021,13,72803613,1610488143.9598792,34180.28,1202.3553757429122,0.07035374641418457,16,60.8,57
Tue Jan 12 13:49:04 2021,13,72809349,1610488144.533467,34180.28,1202.2820328187943,0.07034945487976074,16,60.8,57
Tue Jan 12 13:49:05 2021,13,72815085,1610488145.107022,34180.28,1202.5061361980438,0.07036256790161133,16,60.8,57
Tue Jan 12 13:49:05 2021,13,72820821,1610488145.6807065,34180.28,1202.5061361980438,0.07036256790161133,16,60.8,57
Tue Jan 12 13:49:06 2021,13,72829169,1610488146.515473,34180.28,1202.379823384285,0.07035517692565918,16,60.8,57
Tue Jan 12 13:49:07 2021,13,72834906,1610488147.089132,34180.28,1202.2820328187943,0.07034945487976074,16,60.8,57
Tue Jan 12 13:49:07 2021,13,72840643,1610488147.662863,34180.28,1202.4409424877167,0.0703587532043457,16,60.8,57
Tue Jan 12 13:49:08 2021,13,72846395,1610488148.2381005,34180.28,1202.351301136017,0.07035350799560547,16,60.8,57
Tue Jan 12 13:49:09 2021,13,72854701,1610488149.0686305,34180.28,1202.4205694532393,0.0703575611114502,16,60.8,57
Tue Jan 12 13:49:09 2021,13,72860436,1610488149.6422129,34180.28,1202.4327932739257,0.0703582763671875,16,60.8,57
Tue Jan 12 13:49:10 2021,13,72866175,1610488150.2160997,34180.28,1202.4246440601348,0.0703577995300293,16,60.8,57
Tue Jan 12 13:49:10 2021,13,72871913,1610488150.7898266,34180.28,1202.461315522194,0.07035994529724121,16,60.8,57
Tue Jan 12 13:49:11 2021,13,72880261,1610488151.6246483,34180.28,1202.4939123773574,0.07036185264587402,16,60.8,57
Tue Jan 12 13:49:12 2021,13,72885996,1610488152.1982043,34180.28,1202.4490917015075,0.0703592300415039,16,60.8,57
Tue Jan 12 13:49:12 2021,13,72891734,1610488152.7719727,34180.28,1202.5346584463118,0.07036423683166504,16,60.8,57
Tue Jan 12 13:49:13 2021,13,72897503,1610488153.3488824,34180.28,1202.3594503498077,0.07035398483276367,16,60.8,57
Tue Jan 12 13:49:14 2021,13,72905808,1610488154.1793647,34180.28,1202.3920472049713,0.07035589218139648,16,60.8,57
Tue Jan 12 13:49:14 2021,13,72911544,1610488154.752987,34180.28,1202.306480460167,0.07035088539123535,16,60.8,57
Tue Jan 12 13:49:15 2021,13,72917282,1610488155.3267474,34180.28,1202.4083456325532,0.07035684585571289,16,60.8,57
Tue Jan 12 13:49:15 2021,13,72923019,1610488155.900467,34180.28,1202.4287186670304,0.0703580379486084,16,60.8,57
Tue Jan 12 13:49:16 2021,13,72931367,1610488156.735283,34180.28,1202.363524956703,0.07035422325134277,16,60.8,57
Tue Jan 12 13:49:17 2021,13,72936784,1610488157.2770061,34180.28,656.4965883874893,0.03841376304626465,16,60.8,57
Tue Jan 12 13:49:17 2021,13,72942522,1610488157.8507333,34180.28,1202.4124202394485,0.07035708427429199,16,60.8,57
